iu_ac;date_debut;date_fin;libelle;iu_nd_aval;libelle_nd_aval;iu_nd_amont;libelle_nd_amont;geo_point_2d;geo_shape
6526;2003-03-07T01:00:00+00:00;2023-01-01T01:00:00+00:00;Belleville;3383;Belleville-Telegraphe;3382;Belleville-Pelleport;48.87545886514836, 2.398540102416402;"{""coordinates"": [[2.3979500812848573, 48.87543304862241], [2.3991301235479465, 48.875484681674315]], ""type"": ""LineString""}"
6528;2003-03-07T01:00:00+00:00;2023-01-01T01:00:00+00:00;Belleville;3381;Belleville-Compans;3379;Belleville-Fetes-Metra;48.87534787285288, 2.3936999744196057;"{""coordinates"": [[2.3921998900908488, 48.875411050582265], [2.3929649529125068, 48.875397485608424], [2.395199066990291, 48.87525970266331]], ""type"": ""LineString""}"
6520;2003-03-07T01:00:00+00:00;2023-01-01T01:00:00+00:00;Belleville;3380;Belleville-Jourdain;3377;Belleville-Pyrenees;48.87459690907693, 2.3874351873310133;"{""coordinates"": [[2.385519763915968, 48.873959821936474], [2.386003380929685, 48.87423751768082], [2.3863573985347624, 48.87440760732978], [2.3865856814815007, 48.87449935823097], [2.386817918923606, 48.87457722524726], [2.3870799436955714, 48.87462411839883], [2.387336959806231, 48.874636702752234], [2.3875788914434626, 48.874645108421056], [2.3879090151737943, 48.874671447624394], [2.3882244716887806, 48.87469059723114], [2.3884791937942422, 48.874749977694535], [2.3888441367785287, 48.874881156558835], [2.389067711387518, 48.87500057806878], [2.389387253282211, 48.87513664071778]], ""type"": ""LineString""}"
4054;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Clichy;2061;Bd_Clichy-Caulaincourt;2097;Bd_Clichy-Douai;48.88412030803697, 2.3290198399382556;"{""coordinates"": [[2.328583273521124, 48.883831847196575], [2.3294564063553866, 48.88440876887736]], ""type"": ""LineString""}"
7177;2019-03-26T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Kleber;3720;Kleber-Longchamp;3549;Av_Kleber_Trocadero;48.86422081945547, 2.288169302851539;"{""coordinates"": [[2.2876103197335405, 48.86345816346659], [2.2887282859695373, 48.86498347544434]], ""type"": ""LineString""}"
1071;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_d'Issy;562;Quai_Andre_Citroen-av_Victor;573;Bd_Gal_Valin-Pt_du_Garigliano;48.839468272130034, 2.2704837826454307;"{""coordinates"": [[2.2698860561809195, 48.83872010864461], [2.2709338432173047, 48.84003492547375], [2.2710943347487587, 48.8402053183309]], ""type"": ""LineString""}"
4658;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_St_Exupery;2478;Gal_Niox-Quai_St_Exupery;2479;St_Exupery-Henry_de_la_Vaulx;48.83558887678664, 2.262963832064931;"{""coordinates"": [[2.261984690842974, 48.8345994330226], [2.263942973286887, 48.83657832055067]], ""type"": ""LineString""}"
1621;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Ordener;860;Ordener-Clignancourt-E_Sue;859;Ornano-Ordener-Barbes-Boinod;48.89166962461466, 2.349131972349076;"{""coordinates"": [[2.3495413576811934, 48.8916053673426], [2.3487225870169586, 48.891733881886715]], ""type"": ""LineString""}"
6818;2014-01-06T01:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Malesherbes;3241;Malesherbes-Courcelles;3240;Malesherbes-Monceau;48.8801257196549, 2.3135432105558076;"{""coordinates"": [[2.3143727158408036, 48.879434560991506], [2.3127137052708115, 48.8808168783183]], ""type"": ""LineString""}"
4315;1996-10-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Niel;2320;Niel-Rennequin;2318;Niel-Laugier;48.88237299701319, 2.2961788379712216;"{""coordinates"": [[2.2959491943728834, 48.88190666798133], [2.2964084815695593, 48.882839326045044]], ""type"": ""LineString""}"
4867;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Reuilly;3045;Pl_Felix_Eboue_Ouest;2592;Bd_de_Reuilly-Durance;48.83941110841288, 2.39481470321284;"{""coordinates"": [[2.3944581541181145, 48.839370276782155], [2.3951712523075654, 48.83945194004361]], ""type"": ""LineString""}"
4830;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Claude_Bernard;2574;Claude_Bernard-Arbalete;2560;Monge-Claude_Bernard;48.83919944197394, 2.348887445320026;"{""coordinates"": [[2.3505712777923984, 48.8385943718361], [2.350393161654373, 48.83861964817759], [2.3472132929421705, 48.83984180693795]], ""type"": ""LineString""}"
4951;1996-10-18T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_la_Villette;2622;Jemmapes-Villette;2600;Pl_Stalingrad;48.88194625229705, 2.3700189070013247;"{""coordinates"": [[2.370016266102483, 48.882404091242854], [2.3700215479001665, 48.88148841335124]], ""type"": ""LineString""}"
5707;1997-03-04T01:00:00+00:00;2023-01-01T01:00:00+00:00;Pl_Marechal_Juin5;2989;Pl_Marechal_Juin-Courcelles;2988;Pl_Marechal_Juin-Bd_Pereire2;48.88539448423917, 2.29711458585824;"{""coordinates"": [[2.2972422900915266, 48.88542066257729], [2.296986881624953, 48.88536830590106]], ""type"": ""LineString""}"
5765;1997-03-13T01:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Pasteur;3015;Bd_Pasteur-Falguiere;3016;Bd_Pasteur-Armorique;48.84106882110713, 2.314468201843681;"{""coordinates"": [[2.3149585108450226, 48.84059989476964], [2.3139778928423396, 48.84153774744461]], ""type"": ""LineString""}"
6500;2002-10-02T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_des_Invalides;3364;St_Francois_Xavier;3366;Bd_des_Invalides-Tourville;48.85151652080052, 2.3143470558812735;"{""coordinates"": [[2.3144050595273074, 48.85181011941229], [2.3143736635795626, 48.85142353897818], [2.314182427786501, 48.85128225089277]], ""type"": ""LineString""}"
6592;2006-12-11T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_du_Mal_Gallieni;3416;Av_Mal_Gallieni-St_Dominique;3417;Av_Mal_Gallieni-Universite;48.860506694977914, 2.3130618595939243;"{""coordinates"": [[2.3131268532703753, 48.86107651511259], [2.312996865917473, 48.85993687484324]], ""type"": ""LineString""}"
4594;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Murat;2435;Pl_Pte_d'Auteuil;2449;Bd_Murat-Molitor;48.84662435331379, 2.2582644854540703;"{""coordinates"": [[2.257598507887341, 48.84538974412246], [2.2589304630207994, 48.84785896250515]], ""type"": ""LineString""}"
6497;2002-10-02T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_Villars;3364;St_Francois_Xavier;3370;Av_de_Tourville-Av_de_Villars;48.85276149612178, 2.3131601322218374;"{""coordinates"": [[2.312625229130502, 48.8537667228882], [2.313695035313173, 48.851756269355356]], ""type"": ""LineString""}"
4580;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_New_York;2443;Av_de_New_York-Manutention;2447;Av_de_New_York-Debrousse;48.86370627221788, 2.2979091377644623;"{""coordinates"": [[2.2995519354694207, 48.86402118913918], [2.2991193777360515, 48.86397520011315], [2.296273026388212, 48.8633501941198]], ""type"": ""LineString""}"
4145;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rampe_sortie_Pont_de_Tolbiac_W;816;Pt_Tolbiac-RD;3165;Quai_Bercy_Face_F_Truffaut_W;48.832993250029965, 2.383289011588807;"{""coordinates"": [[2.3840295918105943, 48.832305104358376], [2.3825484313670198, 48.833681395701554]], ""type"": ""LineString""}"
4292;1996-10-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Pereire;2308;Bd_Pereire-Guersant;2305;Pereire-Bayen;48.88160162201757, 2.2906767781111466;"{""coordinates"": [[2.29167467213868, 48.882147100457196], [2.2896788840836133, 48.88105614357794]], ""type"": ""LineString""}"
4944;1996-10-18T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_de_Valmy;2620;Valmy-Varlin;2621;Quai_Valmy-Louis_Blanc;48.8787851246431, 2.3662930231389163;"{""coordinates"": [[2.367026936105248, 48.880028734639325], [2.3670136259901873, 48.879629514228505], [2.3653496682106803, 48.87762096799992]], ""type"": ""LineString""}"
4479;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_Andre_Citroen;2385;Pl_Fernand_Forest;2386;Quai_Andre-Citoen-Javel;48.84833295800781, 2.2802253158401236;"{""coordinates"": [[2.2788564239172286, 48.847345010982174], [2.279073976634469, 48.84754514491448], [2.2816181061191987, 48.84929089803195]], ""type"": ""LineString""}"
1079;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_d'Issy_bretelle_4;3183;Quai_Issy_bretelles_4-4b;600;Quai_Issy_bretelle_4-Bretelle_3;48.83534688389206, 2.2705142616356615;"{""coordinates"": [[2.270132863571163, 48.83492389476661], [2.2705310742844667, 48.83506299331374], [2.270648414657624, 48.83517896399822], [2.270706254652404, 48.83546183779762], [2.270552436929736, 48.83574443718145], [2.2703193850146337, 48.83583787288409]], ""type"": ""LineString""}"
1104;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rd_Point_Pte_Sevres;614;Pte_Sevres_Rd_Point_Est;616;Pte_Sevres_Rd_Point_Ouest;48.83333114839411, 2.276782425287635;"{""coordinates"": [[2.2766240388719607, 48.833396551239325], [2.27694081170331, 48.833265745548886]], ""type"": ""LineString""}"
4746;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Avron;766;Pyrenees-Avron;2529;Avron-Buzenval;48.85248246804884, 2.4050522356195896;"{""coordinates"": [[2.4040724328342393, 48.85230156194614], [2.40603203840494, 48.85266337415154]], ""type"": ""LineString""}"
5200;1996-10-25T02:00:00+00:00;2023-01-01T01:00:00+00:00;PI_Brancion;631;SI_Plaine;638;SI_Brancion;48.825401630477124, 2.301886276974571;"{""coordinates"": [[2.3047525619133653, 48.82476050622083], [2.299019992035776, 48.82604275473342]], ""type"": ""LineString""}"
1080;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Quai_d'Issy_bretelle_3;2226;AE_Quai_Issy;600;Quai_Issy_bretelle_4-Bretelle_3;48.83496729250897, 2.2716379394993753;"{""coordinates"": [[2.270132863571163, 48.83492389476661], [2.2718746186089445, 48.834976754179735], [2.2731431785657996, 48.83500443601659]], ""type"": ""LineString""}"
1497;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_d'Algerie;796;Bd_d'Algerie;797;Av_Pte_Brunet-Indochine_Algerie;48.88298903374461, 2.3978944063892507;"{""coordinates"": [[2.3969775628197394, 48.88365557012692], [2.3972865061412496, 48.88319266023243], [2.3974772343125315, 48.883037218525956], [2.3978401208290023, 48.88288738194108], [2.3982087634955933, 48.88279267486713], [2.398580930031968, 48.882743400307966], [2.3990237085050654, 48.88268423574062]], ""type"": ""LineString""}"
1425;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Mortier;757;Bd_Mortier-Av_Pte_Menilmontant;736;Bd_Mortier-St_Fargeau-Guebriant;48.87171193274375, 2.408546702341668;"{""coordinates"": [[2.408383594604696, 48.87285316388562], [2.40870981007864, 48.87057070160188]], ""type"": ""LineString""}"
1457;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Pte_Bagnolet;774;Av_Pte_Bagnolet-Lumiere;775;Av_Pte_Bagnolet-Av_Ibsen;48.86506620373028, 2.4108798810810366;"{""coordinates"": [[2.4115993588610847, 48.8653205029107], [2.411174022316243, 48.86511239950009], [2.410134553272894, 48.86488625032103]], ""type"": ""LineString""}"
5223;1996-10-25T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Gouvion_St_Cyr;2752;Place_Jean_Renard;2753;Av_Pte_Villiers-Gouvion_St_Cyr;48.88357801851163, 2.2884270985324986;"{""coordinates"": [[2.287549777057033, 48.88302556765787], [2.289304420007964, 48.88413046936538]], ""type"": ""LineString""}"
731;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Jourdan;425;Bd_Jourdan-Arcueil;424;Bd_Jourdan-Cite_Universitaire;48.819606125913964, 2.3421717946229785;"{""coordinates"": [[2.341516049212623, 48.81968113780861], [2.342827540033334, 48.81953111401932]], ""type"": ""LineString""}"
845;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Massena;487;Bd_Massena-Lachelier;488;Av_d'Ivry-Av_Pte_d'Ivry;48.82108170361253, 2.3676340675670318;"{""coordinates"": [[2.369189876069126, 48.821617218837076], [2.366078259064937, 48.82054618838796]], ""type"": ""LineString""}"
4619;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Exelmans;2466;Exelmans-Erlanger;2456;Bd_Exelmans-Molitor;48.84436915018083, 2.258739419821377;"{""coordinates"": [[2.258386974036165, 48.84528766340433], [2.2584549484616963, 48.8448419703163], [2.2586274357132963, 48.8444556266484], [2.258841090062442, 48.844062225783375], [2.2593079200570645, 48.843560030419404]], ""type"": ""LineString""}"
1027;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Pont_du_Garigliano;573;Bd_Gal_Valin-Pt_du_Garigliano;574;Bd_Exelmans-Pt_Garigliano;48.8393778179713, 2.268064173426101;"{""coordinates"": [[2.2667485351492096, 48.83997214561857], [2.2693798117029926, 48.838783490324026]], ""type"": ""LineString""}"
1555;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Magenta;826;Bd_Magenta-Lancry;819;Bd_Magenta-Rue_Fbg_St_Martin;48.872538173803974, 2.35931440191887;"{""coordinates"": [[2.3582612710708917, 48.87373519414807], [2.3603675327668485, 48.87134115345987]], ""type"": ""LineString""}"
741;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Brune;411;Pl_Pte_Chatillon;412;Bd_Brune-Av_Pte_Montrouge;48.82405832435676, 2.3222879056610495;"{""coordinates"": [[2.323167208648068, 48.82386010163946], [2.3214086026740315, 48.824256547074064]], ""type"": ""LineString""}"
4548;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Suchet;2429;Suchet-Raphael;2410;Place_de_Colombie;48.862429201259275, 2.267883201909961;"{""coordinates"": [[2.268265798917957, 48.86295131044586], [2.2675006049019655, 48.86190709207269]], ""type"": ""LineString""}"
5090;1996-10-21T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Vincent_Auriol;2689;Bd_Vincent_Auriol-Face_N?55;2688;Bd_Vincent_Auriol-Chevaleret;48.8348164099384, 2.3681843633940285;"{""coordinates"": [[2.3673648114849355, 48.83455261784699], [2.3690039153031215, 48.83508020202981]], ""type"": ""LineString""}"
675;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_St_Jacques;389;Pl_St_Jacques;386;Pl_D_Rochereau-Bd_St_Jacques;48.83336230419652, 2.334686820954187;"{""coordinates"": [[2.3334195548042085, 48.83372065614661], [2.3359540871041653, 48.83300395224643]], ""type"": ""LineString""}"
5530;1996-12-10T01:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Auguste_Blanqui;2902;Bd_Auguste_Blanqui-Face_147;2901;Bd_Blanqui-Bd_St_Jacques-Sante;48.831345740517094, 2.3419342220343586;"{""coordinates"": [[2.3409373951913164, 48.831621813357], [2.342931048877401, 48.831069667677184]], ""type"": ""LineString""}"
5082;1996-10-21T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Auguste_Blanqui;2681;Pl_d'Italie-Bd_Auguste_Blanqui;2682;Bd_Blanqui-Abel_Hovelacque;48.830696886018636, 2.3538882611948133;"{""coordinates"": [[2.3527747850388896, 48.83034219320764], [2.355001737350737, 48.83105157882963]], ""type"": ""LineString""}"
5535;1996-12-10T01:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Auguste_Blanqui;2900;Glaciere-Bd_Auguste_Blanqui;2903;Bd_Auguste_Blanqui-Vulpian;48.830960678000935, 2.345086345705562;"{""coordinates"": [[2.3459280413426824, 48.830717109660974], [2.344244650068442, 48.831204246340896]], ""type"": ""LineString""}"
4869;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Reuilly;2592;Bd_de_Reuilly-Durance;3045;Pl_Felix_Eboue_Ouest;48.83938657432684, 2.3932178207994386;"{""coordinates"": [[2.3942762534479076, 48.83946729626858], [2.3921593881509695, 48.83930585238509]], ""type"": ""LineString""}"
4662;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rue_du_Fbg_St_Antoine;2481;Rue_Fbg_St_Antoine-Av_L_Rollin;2482;Rue_Fbg_St_Antoine-Charonne;48.851555347279586, 2.374890509418898;"{""coordinates"": [[2.3737876111493237, 48.8518280744044], [2.3759934076884717, 48.85128262015477]], ""type"": ""LineString""}"
609;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Port_Royal;363;Bd_Port_Royal-Sante;359;Bd_Port_Royal-St_Jacques;48.838572250122624, 2.340861112316327;"{""coordinates"": [[2.339648700128224, 48.838833944858365], [2.342073524504431, 48.83831055538688]], ""type"": ""LineString""}"
4753;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Port_Royal;2532;Port_Royal-Face_24;364;Bd_Port_Royal-Glaciere;48.837386144846484, 2.3462633476262846;"{""coordinates"": [[2.3454694773552407, 48.837541718088325], [2.347057217897328, 48.837230571604636]], ""type"": ""LineString""}"
5776;1997-03-13T01:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Montparnasse;3020;Bd_Montparnasse-Bd_Raspail;3021;Bd_Montparnasse-Stanislas;48.84230690847958, 2.328449229084473;"{""coordinates"": [[2.3271983405518255, 48.84273023119878], [2.329512394952432, 48.8419476451552], [2.329697857450483, 48.84187728389918]], ""type"": ""LineString""}"
5518;1996-12-10T01:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Arago;2546;Bd_Arago-Glaciere;2695;Bd_Arago-Pascal;48.83543686511774, 2.347297401094437;"{""coordinates"": [[2.3483541011499356, 48.83576013553797], [2.3462407010389383, 48.83511359469751]], ""type"": ""LineString""}"
414;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Lyon;243;Lyon-Daumesnil;242;Bd_Bastille-Lyon;48.85093151685224, 2.3700285556630147;"{""coordinates"": [[2.3694052502703027, 48.85199078374036], [2.3695840415276406, 48.85189016191629], [2.37056768562998, 48.84979407152055]], ""type"": ""LineString""}"
6533;2003-03-28T01:00:00+00:00;2023-01-01T01:00:00+00:00;Tolbiac;3386;Tolbiac-Wurtz;2628;Tolbiac-Vergniaud;48.8260717416473, 2.3445780770896425;"{""coordinates"": [[2.345210589029294, 48.825979253745686], [2.343945565149991, 48.826164229548915]], ""type"": ""LineString""}"
1895;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_St_Ouen;2046;Av_St_Ouen-Lamarck;2048;Av_St_Ouen-Moquet;48.89223792386694, 2.327084747992652;"{""coordinates"": [[2.3273326029725894, 48.892950817266865], [2.3268368930127146, 48.89152503046699]], ""type"": ""LineString""}"
1629;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Barbes;863;Barbes-Poissonniers-Goutte_d'Or;864;BdBarbes-Custine-Poulet_PlChatR;48.886901543531884, 2.3494751921659276;"{""coordinates"": [[2.349488308941131, 48.88723739192784], [2.3494620753907247, 48.88656569513593]], ""type"": ""LineString""}"
409;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Richard_Lenoir;236;Pl_Bastille-Bd_Beaumarchais;240;R_Lenoir-Pasteur_Wagner-Daval;48.85469841298751, 2.3694829372568007;"{""coordinates"": [[2.3698463814378954, 48.85552676012417], [2.3693056807949207, 48.85424067250216], [2.369213658909514, 48.854095535724035], [2.3690133656931374, 48.85394979197503]], ""type"": ""LineString""}"
4488;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Grenelle;2382;Quai_Branly-Pt_Bir_Hakeim;2390;Bd_Grenelle-St_Charles;48.85364532660222, 2.289835736054526;"{""coordinates"": [[2.290798604575396, 48.85273194524629], [2.2888728675336556, 48.85455870795815]], ""type"": ""LineString""}"
635;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Monge;82;Monge-Ecoles;372;Monge-Cardinal_Lemoine;48.84735120928314, 2.351100815587208;"{""coordinates"": [[2.3516727165521147, 48.846634342994], [2.350528914622302, 48.84806807557228]], ""type"": ""LineString""}"
5064;1996-10-21T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_des_Gobelins;2671;Av_des_Gobelins-Coypel;2672;Av_des_Gobelins-Pl_d'Italie;48.8326395157521, 2.354855843912954;"{""coordinates"": [[2.3553815160957323, 48.83188716351838], [2.3543301717301754, 48.83339186798582]], ""type"": ""LineString""}"
4707;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Diderot;2511;Bd_Diderot-Picpus;2510;Bd_Diderot-Pge_du_Genie;48.84786628612263, 2.391729858301656;"{""coordinates"": [[2.3906391375790137, 48.84774346941621], [2.392820579024299, 48.847989102829054]], ""type"": ""LineString""}"
5042;1996-10-21T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Daumesnil;2661;Av_Daumesnil-Raguinot;2582;Av_Daumesnil-Bd_Diderot;48.84574194622361, 2.3783867750449605;"{""coordinates"": [[2.3773763403188313, 48.84623093357576], [2.3793972097710903, 48.845252958871455]], ""type"": ""LineString""}"
5067;1996-10-21T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_l'Hopital;2675;Bd_de_l'Hopital-Pl_d'Italie;2674;Bd_de_l'Hopital-Pinel;48.83321057634813, 2.356720936184622;"{""coordinates"": [[2.3577169574365384, 48.83451902479689], [2.3560199883006976, 48.83229765809388], [2.3557509827541163, 48.83188374004104]], ""type"": ""LineString""}"
5663;1997-01-10T01:00:00+00:00;2023-01-01T01:00:00+00:00;Convention;2968;Convention-Felix_Faure;2969;Convention-Croix_Nivert;48.84057074104958, 2.2891591403115523;"{""coordinates"": [[2.290335631886667, 48.84004960395798], [2.2879826487364383, 48.84109187814119]], ""type"": ""LineString""}"
5722;1997-03-07T01:00:00+00:00;2023-01-01T01:00:00+00:00;Vouille;2996;Vouille-Alesia;2994;Pce_General_Montclar;48.83313151411184, 2.3103322534669646;"{""coordinates"": [[2.3091797532490466, 48.83355329441906], [2.3114847536848826, 48.83270973380463]], ""type"": ""LineString""}"
1912;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Clichy;2057;Pl_Clichy-Bd_Batignolles;3076;Clichy-Liege-Moncey;48.881570838270314, 2.3283334735284815;"{""coordinates"": [[2.3291649918755137, 48.879781796853585], [2.3275019551814493, 48.88335987968704]], ""type"": ""LineString""}"
6277;2000-10-26T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Voltaire;2526;Bd_Voltaire-Boulets-A.Dumas;3256;Bd_Voltaire-Charonne;48.85366038488915, 2.386951919586597;"{""coordinates"": [[2.385267803225807, 48.85466777949503], [2.3886360359473873, 48.85265299028328]], ""type"": ""LineString""}"
1354;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Voltaire;699;Bd_Voltaire-Oberkampf;720;Bd_Voltaire-St_Sebastien;48.86336871875688, 2.370860707214516;"{""coordinates"": [[2.371528271946613, 48.86295356549261], [2.370193142482419, 48.86378387202116]], ""type"": ""LineString""}"
1548;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Strasbourg;820;Bd_Magenta-Bd_Stasbourg;821;Bd_Strasbourg-Chateau_d'Eau;48.873547431666346, 2.3566201640603985;"{""coordinates"": [[2.3558911383655325, 48.872271697896636], [2.3573491897552645, 48.874823165436055]], ""type"": ""LineString""}"
318;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_d'Orsay;187;Quai_d'Orsay-V.E.R.G.;186;Pt_Concorde_Gauche;48.86280191153841, 2.318512088911974;"{""coordinates"": [[2.3189836530879586, 48.86267788749014], [2.3180405247359888, 48.862925935586674]], ""type"": ""LineString""}"
1794;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Pte_Chapelle;873;Pl_Pte_Chapelle-Bd_Ney;952;Pte_Chapelle-Marechaux;48.89853472946117, 2.358898256942739;"{""coordinates"": [[2.358892299102494, 48.8986269764169], [2.3589042147829846, 48.89844248250544]], ""type"": ""LineString""}"
1598;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Marx_Dormoy;839;Rue_du_Fbg_St_Denis-Bd_Chapelle;3493;Marx_Dormoy-Lepine;48.88531873182893, 2.359300443246952;"{""coordinates"": [[2.3593215669030685, 48.886099541753104], [2.359279319590836, 48.88453792190475]], ""type"": ""LineString""}"
4704;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Acces_Wilhem-VGP;2506;VGP-Rampe_Wilhem;2508;Quai_Louis_Bleriot-Wilhem;48.84475703756034, 2.272285149688369;"{""coordinates"": [[2.2719071371997233, 48.84446019940198], [2.2726631621770146, 48.845053875718705]], ""type"": ""LineString""}"
1128;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Vaugirard;624;Vaugirard-Olier;623;Vaugirard-Croix_Nivert;48.834360822755315, 2.2909790876128397;"{""coordinates"": [[2.2901371341159225, 48.83385867968544], [2.2918210411097575, 48.83486296582518]], ""type"": ""LineString""}"
4309;1996-10-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_des_Ternes;2316;Av_Ternes-Av_Niel;2315;Pl_Tristan_Bernard;48.87893029169401, 2.2926027939588325;"{""coordinates"": [[2.2910226214597853, 48.8792975300939], [2.2941829664578797, 48.87856305329412]], ""type"": ""LineString""}"
4468;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_de_Grenelle;2382;Quai_Branly-Pt_Bir_Hakeim;2383;Quai_de_Grenelle-Dr_Finlay;48.853567719615704, 2.287525598365148;"{""coordinates"": [[2.2864412069654807, 48.85277009119387], [2.288609989764816, 48.85436534803754]], ""type"": ""LineString""}"
4742;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Charonne;2531;Bd_Charonne-Vignoles;2527;Bd_Charonne-Montreuil;48.85222521007789, 2.397893735206682;"{""coordinates"": [[2.3985495566066395, 48.85140408458427], [2.397237913806724, 48.85304633557152]], ""type"": ""LineString""}"
4750;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Charonne;2534;Bd_Charonne-Av_de_Taillebourg;2527;Bd_Charonne-Montreuil;48.85078094676716, 2.3983770384952106;"{""coordinates"": [[2.3982009970036606, 48.851235259460616], [2.39855307998676, 48.8503266340737]], ""type"": ""LineString""}"
1910;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_des_Batignolles;2058;Bd_Batignolles-Lecluse;2057;Pl_Clichy-Bd_Batignolles;48.88368251606503, 2.3273012603472862;"{""coordinates"": [[2.3273986465542498, 48.88369242078494], [2.327203874140323, 48.88367261134512]], ""type"": ""LineString""}"
6268;2000-04-28T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Courcelles;3253;Bd_de_Courcelles-Prony-Berger;3241;Malesherbes-Courcelles;48.88070558707269, 2.3107417156202605;"{""coordinates"": [[2.312365052657772, 48.880911977496964], [2.309118378582749, 48.880499196648415]], ""type"": ""LineString""}"
