iu_ac;date_debut;date_fin;libelle;iu_nd_aval;libelle_nd_aval;iu_nd_amont;libelle_nd_amont;geo_point_2d;geo_shape
7200;2019-04-24T02:00:00+00:00;2023-01-01T01:00:00+00:00;Menilmontant;3731;Menilmontant-Sorbier-Chevreau;3730;Menilmontant-Mare-Amandiers;48.86844953267214, 2.3890015756701235;"{""coordinates"": [[2.3883651669889496, 48.86829398999139], [2.389637984351297, 48.86860507535288]], ""type"": ""LineString""}"
1774;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Ney;873;Pl_Pte_Chapelle-Bd_Ney;902;Bd_Ney-Chapelle_international;48.89841309821038, 2.3575155019930456;"{""coordinates"": [[2.356126789203106, 48.89838371391534], [2.3589042147829846, 48.89844248250544]], ""type"": ""LineString""}"
487;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Diderot;277;Quai_Rapee-Bd_Diderot;290;Bd_Diderot-Traversiere;48.84533931581459, 2.3690555367717026;"{""coordinates"": [[2.3696874456493253, 48.84540790591779], [2.36842362789408, 48.845270725711394]], ""type"": ""LineString""}"
449;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Morland;255;Bd_Henri_IV-Bd_Morland;266;Bd_Morland-A._d'Aubigne;48.85072532141983, 2.3625716121330607;"{""coordinates"": [[2.3629805421132715, 48.85039262968844], [2.3621626821528503, 48.85105801315121]], ""type"": ""LineString""}"
444;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_Celestins;254;Pt_Sully_Droite;262;Celestins-St_Paul;48.851674359398345, 2.3611452097768235;"{""coordinates"": [[2.360466931737419, 48.852280249332445], [2.3608825984748614, 48.85209518887169], [2.3611433251133405, 48.85191342780806], [2.3613887227787416, 48.85165124502326], [2.3614046199143037, 48.85080554077393]], ""type"": ""LineString""}"
4705;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Diderot;2505;Bd_Diderot-Reuilly;2510;Bd_Diderot-Pge_du_Genie;48.847541668902494, 2.3878833354309528;"{""coordinates"": [[2.3890668359225042, 48.847674681538074], [2.386699834939401, 48.84740865626692]], ""type"": ""LineString""}"
415;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Lyon;242;Bd_Bastille-Lyon;2743;Lyon-Opera;48.851660018405724, 2.369860050604088;"{""coordinates"": [[2.3701279959446198, 48.85109497621726], [2.369592105263557, 48.852225060594186]], ""type"": ""LineString""}"
515;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;St_Antoine;216;St_Antoine-St_Paul;217;St_Antoine-Hotel_St_Paul;48.85446327574443, 2.3633179745603847;"{""coordinates"": [[2.3637201767521603, 48.85431735102836], [2.362915772368609, 48.8546092004605]], ""type"": ""LineString""}"
407;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Beaumarchais;239;Beaumarchais-St_Gilles;238;Bd_Beaumarchais-Chemin_Vert;48.8573156421569, 2.3682318276341663;"{""coordinates"": [[2.368312354924982, 48.85696345949839], [2.3681513003433503, 48.85766782481539]], ""type"": ""LineString""}"
864;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Massena;498;Bd_Massena-Bruneseau;497;Bd_Massena_Porte_de_France;48.8253449713548, 2.380765849438342;"{""coordinates"": [[2.37960427114076, 48.824967492741905], [2.381927427735924, 48.8257224499677]], ""type"": ""LineString""}"
194;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Sts_Peres;118;Sevres-Sts_Peres;117;Sts_Peres-Grenelle;48.85232835040361, 2.3289514046094655;"{""coordinates"": [[2.329348459690634, 48.85271487240986], [2.328554349528297, 48.85194182839735]], ""type"": ""LineString""}"
1739;2005-01-01T01:00:00+00:00;2018-06-30T02:00:00+00:00;Evitement_Valhubert;295;Quai_bas_Austerlitz-Acces_Valhub;294;Quai_Austerlitz_sortie_Gare;48.84379552593275, 2.365888298489713;"{""coordinates"": [[2.3662505045083457, 48.84318399667395], [2.3661129781032537, 48.8435493257771], [2.365874031639392, 48.84390233544405], [2.365396822588477, 48.84431415812629]], ""type"": ""LineString""}"
4706;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_Diderot;2510;Bd_Diderot-Pge_du_Genie;2511;Bd_Diderot-Picpus;48.84775854870064, 2.389813203463752;"{""coordinates"": [[2.390559571005, 48.84784241586322], [2.3890668359225042, 48.847674681538074]], ""type"": ""LineString""}"
4979;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_Claude_Vellefaux;2639;Vellefaux-Sambre_et_Meuse;2624;Pl_Colonel_Fabien;48.875665559529395, 2.37022142236978;"{""coordinates"": [[2.370210368659957, 48.876111773397], [2.370232476079603, 48.87521934566179]], ""type"": ""LineString""}"
1912;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Clichy;2057;Pl_Clichy-Bd_Batignolles;3076;Clichy-Liege-Moncey;48.883526150235994, 2.3274503008678495;"{""coordinates"": [[2.3275019551814493, 48.88335987968704], [2.3273986465542498, 48.88369242078494]], ""type"": ""LineString""}"
1548;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_de_Strasbourg;820;Bd_Magenta-Bd_Stasbourg;821;Bd_Strasbourg-Chateau_d'Eau;48.87484267139527, 2.357395979849346;"{""coordinates"": [[2.3573491897552645, 48.874823165436055], [2.3574427699434275, 48.87486217735448]], ""type"": ""LineString""}"
1865;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd Bessieres;2022;Bd_Berthier-Magasins-Opera;2020;Bd_Bessieres-Guttin;48.89443175930672, 2.31350010228706;"{""coordinates"": [[2.3136020522058627, 48.894475479828195], [2.3133981523682574, 48.894388038785245]], ""type"": ""LineString""}"
1910;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_des_Batignolles;2058;Bd_Batignolles-Lecluse;2057;Pl_Clichy-Bd_Batignolles;48.88349755725094, 2.326482862879466;"{""coordinates"": [[2.327203874140323, 48.88367261134512], [2.3265472657794004, 48.88350182395857], [2.325757274680128, 48.88334233289074]], ""type"": ""LineString""}"
916;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_de_St_Mande;525;Pte_St_Mande;513;Bd_Soult-Av_St_Mande;48.84417704856793, 2.411056825841036;"{""coordinates"": [[2.410437632312629, 48.84423024154061], [2.4116760193694424, 48.84412385559526]], ""type"": ""LineString""}"
5163;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pte_St_Cloud;2729;Pte_St_Cloud-Av_Georges_Lafont;2722;Pte_St_Cloud-Av_Pte_St_Cloud;48.83743643413101, 2.2567740729340438;"{""coordinates"": [[2.256671453552957, 48.83746319150604], [2.256876692315131, 48.837409676755975]], ""type"": ""LineString""}"
5708;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pl_Marechal_Juin6;2286;Pl_Marechal_Juin-Av_Villiers1;2989;Pl_Marechal_Juin-Courcelles;48.88518126880763, 2.2967031212188598;"{""coordinates"": [[2.2968112967609544, 48.88529326867649], [2.2965949456767656, 48.88506926893877]], ""type"": ""LineString""}"
5113;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pl_de_la_Nation;2697;Pl_de_la_Nation-Face_14;2696;Pl_de_la_Nation-Face_7;48.84811422337558, 2.395019825888174;"{""coordinates"": [[2.394913407543069, 48.84825138987332], [2.395126244233279, 48.847977056877845]], ""type"": ""LineString""}"
5113;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pl_de_la_Nation;2697;Pl_de_la_Nation-Face_14;2696;Pl_de_la_Nation-Face_7;48.84839118546178, 2.394903628519354;"{""coordinates"": [[2.3949030914694833, 48.84849553028741], [2.394904165569226, 48.84828684063615]], ""type"": ""LineString""}"
5646;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pte_Dauphine;2352;Pte_Dauphine-Foch;2424;Pte_Dauphine-Lannes;48.87111451102983, 2.2754638927384145;"{""coordinates"": [[2.275202167043196, 48.87093871426667], [2.275725618433633, 48.87129030779299]], ""type"": ""LineString""}"
1067;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Quai_d'Issy;593;Quai_Issy_Y-Echangeur_Garigliano;560;Quai_Andre_Citroen-am_Victor;48.83780586796867, 2.2685052759499866;"{""coordinates"": [[2.2694305528260887, 48.83890287731872], [2.2685661707402485, 48.837931757068304], [2.267629064468528, 48.836668948485894]], ""type"": ""LineString""}"
4141;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Quai_de_Bercy_W;3165;Quai_Bercy_Face_F_Truffaut_W;3166;Q_Bercy_acces_Terroirs_de_F_W;48.831893999711426, 2.3845585011376933;"{""coordinates"": [[2.3850874104647923, 48.83148289506448], [2.3840295918105943, 48.832305104358376]], ""type"": ""LineString""}"
5115;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pl_de_la_Nation;2696;Pl_de_la_Nation-Face_7;2697;Pl_de_la_Nation-Face_14;48.848051824193526, 2.3966222911880415;"{""coordinates"": [[2.39644039500598, 48.847879053780254], [2.3968041873701025, 48.8482245946068]], ""type"": ""LineString""}"
1459;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_Gambetta;735;Gambetta-Tourelles;756;Bd_Mortier-Belleville-Pte_Lilas;48.87598891253488, 2.406018261299763;"{""coordinates"": [[2.40641678834888, 48.87700664790874], [2.4056197342506462, 48.87497117716101]], ""type"": ""LineString""}"
5166;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_Georges_Lafont;2729;Pte_St_Cloud-Av_Georges_Lafont;2496;Pte_St_Cloud;48.837034850583834, 2.2566440955537783;"{""coordinates"": [[2.2564114987924255, 48.836660024411685], [2.256876692315131, 48.837409676755975]], ""type"": ""LineString""}"
4431;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Quai_Branly;2368;Quai_Branly-Passerelle_Debilly;2369;Quai_Branly-Av_Bourdonnais;48.86178041888867, 2.298382135817564;"{""coordinates"": [[2.297817511373032, 48.86162541489918], [2.298946760262096, 48.86193542287816]], ""type"": ""LineString""}"
1855;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_de_la_Pte_de_St_Ouen;2009;Av_Pte_St_Ouen-Andre_Brechet;2010;Pte_St_Ouen-PI;48.89975834216456, 2.329496406365426;"{""coordinates"": [[2.3296950802629954, 48.90045483866935], [2.3292977324678565, 48.89906184565978]], ""type"": ""LineString""}"
1957;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Auber;2139;Pl_de_l'Opera;2142;Auber-Pl_Garnier;48.87145507130589, 2.3311929041667354;"{""coordinates"": [[2.3305707779240965, 48.871808728033024], [2.3318150304093743, 48.87110141457876]], ""type"": ""LineString""}"
942;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Ech_Vincennes_4;537;Pte_Vincennes-Sortie_PE;524;Pte_Vincennes-Acces_PI;48.84640483226445, 2.4143976429879688;"{""coordinates"": [[2.4139427947296275, 48.84645155770769], [2.4148524912463105, 48.846358106821214]], ""type"": ""LineString""}"
4474;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Presbourg;2360;Champs-Tilsitt;2380;Marceau-Presbourg;48.87312846474666, 2.2970577338896296;"{""coordinates"": [[2.296986074530793, 48.873031018296736], [2.2971293932484658, 48.87322591119657]], ""type"": ""LineString""}"
396;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bastille;233;Pl_Bastille-Lyon;232;Pl_Bastille-Bd_Henri_IV;48.852807610079935, 2.369011755666177;"{""coordinates"": [[2.3686401060524336, 48.85283961424307], [2.3693834052799208, 48.85277560591681]], ""type"": ""LineString""}"
564;2005-01-01T01:00:00+00:00;2017-07-01T02:00:00+00:00;Souterrain_Halles;3396;Halles-Dechargeurs;342;Turbigo-Etienne_Marcel;48.86258178805165, 2.3466369597034173;"{""coordinates"": [[2.3490485879904064, 48.86385824519664], [2.34779444591931, 48.86355135943859], [2.3469785859469803, 48.86330088538312], [2.346597845466161, 48.86311482799019], [2.346271509819355, 48.86296454575801], [2.3459451637504123, 48.86272838392713], [2.3456840843837403, 48.86242065721455], [2.345488288071619, 48.86206284249304], [2.3453795017623693, 48.86169070003718], [2.3454012624482288, 48.861361504878175], [2.3455426768493015, 48.861039457327834], [2.345738483316656, 48.860746036383055], [2.3460456942541965, 48.86044019232341]], ""type"": ""LineString""}"
6090;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Gentilly_bretelle_11;3154;Gentilly_bretelles_1_11_16;453;Gentilly-Sortie_PI-Acces_A6A;48.81673228760999, 2.3422620218541983;"{""coordinates"": [[2.3434177184133507, 48.816848852834895], [2.3432642219636155, 48.81679241890586], [2.3430696661488817, 48.81672723302898], [2.3427713261534944, 48.816688673770976], [2.3424008269373298, 48.816691691179315], [2.341088587506089, 48.81677717533743]], ""type"": ""LineString""}"
4832;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Claude_Bernard;2576;Claude_Bernard-Gay_Lussac;2575;Claude_Bernard-Berthollet;48.84079521764082, 2.3447868554305247;"{""coordinates"": [[2.3459666490708466, 48.84032195860978], [2.3436070617902027, 48.841268476671864]], ""type"": ""LineString""}"
