date,open,pre_close,high,low,volume,amount,turnover_ratio,OT
2017/11/23,4213.38,4227.57,4214.19,4086.9,634853616,2.37537E+11,0.56,4102.4
2017/11/24,4089.47,4102.4,4116.59,4057.49,200902112,1.82912E+11,0.41,4104.2
2017/11/27,4088.93,4104.2,4088.93,4037.15,1460624912,1.83005E+11,0.45,4049.95
2017/11/28,4034.21,4049.95,4056.48,4010.3,1615874808,1.3554E+11,0.32,4055.82
2017/11/29,4061.35,4055.82,4069.24,4004.69,-429537788,1.65743E+11,0.39,4053.75
2017/11/30,4034.01,4053.75,4052.8,3988,-2086567388,1.4583E+11,0.34,4006.1
2017/12/1,4003.56,4006.1,4027.11,3984.38,1148756708,1.36011E+11,0.31,3998.14
2017/12/4,3989.05,3998.14,4032.99,3982.32,1674787308,1.38223E+11,0.32,4018.86
2017/12/5,4007.94,4018.86,4045.93,4006.54,-1771161584,1.96338E+11,0.48,4040.17
2017/12/6,4027.12,4040.17,4031.75,3964.81,-1956281388,1.44115E+11,0.34,4015.82
2017/12/7,4003.58,4015.82,4017.95,3955.99,435469808,1.19651E+11,0.28,3971.06
2017/12/8,3962.83,3971.06,4014.14,3955.44,338351608,1.24371E+11,0.28,4003.38
2017/12/11,4006.88,4003.38,4069.5,4005.27,1124960008,1.48477E+11,0.3,4069.5
2017/12/12,4068.51,4069.5,4070.15,4015.45,-156062692,1.23515E+11,0.26,4016.02
2017/12/13,4013.83,4016.02,4052.69,4004.74,-835321592,1.15006E+11,0.24,4050.09
2017/12/14,4050.9,4050.09,4057.62,4013.85,-513048292,1.15087E+11,0.25,4026.15
2017/12/15,4018.73,4026.15,4020.27,3974.93,314504208,1.18474E+11,0.28,3980.86
2017/12/18,3983.3,3980.86,4008.07,3967.93,-804596992,1.11724E+11,0.24,3985.29
2017/12/19,3985.82,3985.29,4035.63,3985.82,-837035992,1.15998E+11,0.24,4035.33
2017/12/20,4036.02,4035.33,4044.85,4015.63,470515708,1.26813E+11,0.28,4030.49
2017/12/21,4023.08,4030.49,4080.78,4014.65,1093674208,1.3782E+11,0.3,4067.85
2017/12/22,4064.91,4067.85,4076.8,4048.49,-1242566192,1.04426E+11,0.23,4054.6
2017/12/25,4057.42,4054.6,4086.93,4026.45,602761708,1.29939E+11,0.29,4041.54
2017/12/26,4040.62,4041.54,4056.86,4015.3,521944308,1.19725E+11,0.29,4053.62
2017/12/27,4045.28,4053.62,4047.74,3986.74,1925423108,1.40517E+11,0.33,3991.21
2017/12/28,3993,3991.21,4036.7,3980.24,-1030613288,1.53637E+11,0.37,4018.9
2017/12/29,4022.88,4018.9,4043.14,4012.87,458733808,1.21257E+11,0.28,4030.85
2018/1/2,4045.21,4030.85,4087.78,4045.21,1808641512,1.78402E+11,0.46,4087.4
2018/1/3,4091.46,4087.4,4140.05,4088.73,-1994647284,2.05727E+11,0.48,4111.39
2018/1/4,4114.12,4111.39,4137.64,4105.89,569477612,1.74524E+11,0.42,4128.81
2018/1/5,4133.34,4128.81,4151.28,4123.28,2016085212,1.85206E+11,0.47,4138.75
2018/1/8,4140.85,4138.75,4166.32,4127.31,207897316,2.26404E+11,0.55,4160.16
2018/1/9,4157.54,4160.16,4191.28,4153.5,1018527512,1.81975E+11,0.44,4189.3
2018/1/10,4187.2,4189.3,4211.05,4175.14,-2067702484,1.9485E+11,0.47,4207.81
2018/1/11,4197.11,4207.81,4211.8,4181.96,-727047888,1.70407E+11,0.38,4205.59
2018/1/12,4205.14,4205.59,4227.39,4199.03,-1749422588,1.57606E+11,0.35,4225
2018/1/15,4229.84,4225,4262.93,4216.36,-89079584,2.34987E+11,0.54,4225.24
2018/1/16,4215.62,4225.24,4260.21,4213.13,-1030372884,2.28271E+11,0.51,4258.47
2018/1/17,4261.78,4258.47,4283.34,4230.54,-43733280,2.84554E+11,0.67,4248.12
2018/1/18,4259.38,4248.12,4292.64,4246.68,23415516,2.2529E+11,0.54,4271.42
2018/1/19,4281.94,4271.42,4316.57,4269.62,-525779480,2.58555E+11,0.66,4285.4
2018/1/22,4276.48,4285.4,4338.48,4275.9,284450316,2.3396E+11,0.55,4336.6
2018/1/23,4346.89,4336.6,4383.57,4346.79,-1288078080,2.57113E+11,0.63,4382.61
2018/1/24,4389.45,4382.61,4397.82,4349.09,507052520,2.84471E+11,0.69,4389.89
2018/1/25,4381.98,4389.89,4392.2,4336.24,-1937341480,2.50308E+11,0.61,4365.08
2018/1/26,4352.22,4365.08,4403.34,4351.49,542854416,2.23331E+11,0.56,4381.3
2018/1/29,4387.06,4381.3,4395.91,4287.11,1930166316,2.56176E+11,0.6,4302.02
2018/1/30,4286.68,4302.02,4308.51,4251.57,1018571012,1.86651E+11,0.44,4256.1
2018/1/31,4234.11,4256.1,4287.86,4232.77,1636114412,1.94402E+11,0.46,4275.9
2018/2/1,4276.34,4275.9,4287.39,4214.29,1820424216,2.3923E+11,0.6,4245.9
2018/2/2,4213.94,4245.9,4271.76,4181.78,1721780712,1.9117E+11,0.46,4271.23
2018/2/5,4204.46,4271.23,4274.15,4200.14,-1045089284,2.1736E+11,0.51,4274.15
2018/2/6,4182.33,4274.15,4211.52,4131.56,16208620,2.79415E+11,0.67,4148.89
2018/2/7,4205.74,4148.89,4212.57,4048.42,-1162087180,2.61507E+11,0.64,4050.5
2018/2/8,4022.88,4050.5,4071.67,3974.68,-1252870684,1.99062E+11,0.5,4012.05
2018/2/9,3896.17,4012.05,3911.29,3759.15,-839853580,2.46775E+11,0.65,3840.65
2018/2/12,3846.27,3840.65,3907.84,3828.07,-1266638088,1.49858E+11,0.36,3890.1
2018/2/13,3925.6,3890.1,3986.98,3925.6,-1628313388,1.44479E+11,0.35,3935.63
2018/2/14,3945.09,3935.63,3971.4,3923.13,-1481800692,93110202368,0.22,3966.96
2018/2/22,4020.97,3966.96,4058.79,4009.92,1991222508,1.38334E+11,0.33,4052.73
2018/2/23,4061.75,4052.73,4085.2,4035.23,1355940108,1.28196E+11,0.31,4071.09
2018/2/26,4093.4,4071.09,4128.74,4048.98,903198212,1.79013E+11,0.43,4118.42
2018/2/27,4120.87,4118.42,4120.87,4051.81,-291454988,1.69685E+11,0.4,4058.98
2018/2/28,4016.79,4058.98,4051.71,3991.71,-1950542588,1.52494E+11,0.34,4023.64
2018/3/1,3994.87,4023.64,4061.03,3986.89,-1864916688,1.46003E+11,0.35,4049.09
2018/3/2,4014.95,4049.09,4044.42,4006.94,1026565408,1.30931E+11,0.3,4016.46
2018/3/5,4021.66,4016.46,4042.83,3995.87,205320208,1.18198E+11,0.28,4018.1
2018/3/6,4034.99,4018.1,4067.55,3998.93,991342612,1.71371E+11,0.44,4066.56
2018/3/7,4063.5,4066.56,4089.7,4027.94,2105307908,1.36572E+11,0.34,4036.65
2018/3/8,4038.95,4036.65,4078.23,4029.71,525646308,1.23635E+11,0.29,4077.6
2018/3/9,4088.07,4077.6,4110.67,4076.45,-1514720988,1.50024E+11,0.36,4108.87
2018/3/12,4130.71,4108.87,4139.53,4112.77,1205772012,1.90368E+11,0.44,4127.67
2018/3/13,4124.33,4127.67,4130.28,4087.56,-1708258788,1.41174E+11,0.35,4091.25
2018/3/14,4076.06,4091.25,4089.09,4066.49,1311406308,1.31538E+11,0.31,4073.34
2018/3/15,4058.71,4073.34,4098.99,4058.71,226181108,1.26882E+11,0.28,4096.16
2018/3/16,4096.89,4096.16,4110.05,4055.82,-100315892,1.22125E+11,0.27,4056.42
2018/3/19,4054.62,4056.42,4074.52,4033.52,-439646492,1.18184E+11,0.26,4074.25
2018/3/20,4045.74,4074.25,4080.19,4040.31,-529406492,1.1198E+11,0.25,4077.7
2018/3/21,4097.02,4077.7,4110.12,4046.24,1171014108,1.3933E+11,0.31,4061.05
2018/3/22,4062.07,4061.05,4072.38,4003.72,319591408,1.27664E+11,0.28,4020.35
2018/3/23,3896.74,4020.35,3928.51,3834.94,828175616,2.18905E+11,0.56,3904.94
2018/3/26,3862.69,3904.94,3883.9,3829.92,-1370989088,1.56605E+11,0.36,3879.89
2018/3/27,3927.49,3879.89,3936.78,3881.87,-1514830888,1.62292E+11,0.36,3913.27
2018/3/28,3865.05,3913.27,3907.28,3835.88,1559556108,1.55849E+11,0.32,3842.72
2018/3/29,3854.59,3842.72,3913.96,3794.26,-1221995288,1.64997E+11,0.37,3894.05
2018/3/30,3893.75,3894.05,3915.35,3879.21,1161292508,1.37959E+11,0.31,3898.5
2018/4/2,3897.01,3898.5,3937.02,3882.89,-1760635388,1.59356E+11,0.35,3886.92
2018/4/3,3850.15,3886.92,3878.15,3839.93,923802408,1.3205E+11,0.3,3862.48
2018/4/4,3873.63,3862.48,3898.61,3852.5,283126308,1.31593E+11,0.28,3854.86
2018/4/9,3851.95,3854.86,3870.67,3827.41,-179388392,1.18167E+11,0.26,3852.93
2018/4/10,3860.72,3852.93,3927.42,3851.8,2027437608,1.37941E+11,0.33,3927.17
2018/4/11,3934.17,3927.17,3958.71,3924.96,-1691599888,1.39989E+11,0.35,3938.34
2018/4/12,3935.67,3938.34,3937.78,3896.18,-319985692,1.08076E+11,0.26,3898.64
2018/4/13,3920.74,3898.64,3929.95,3866.19,-1435514392,98921828352,0.22,3871.14
2018/4/16,3862.47,3871.14,3869.16,3789.61,1331842308,1.31567E+11,0.31,3808.86
2018/4/17,3812.87,3808.86,3822.63,3745.44,471144408,1.26519E+11,0.28,3748.64
2018/4/18,3785.31,3748.64,3789.66,3708.11,2077735908,1.43078E+11,0.33,3766.28
2018/4/19,3774.78,3766.28,3824.03,3767.8,1315471408,1.2752E+11,0.31,3811.84
2018/4/20,3801.21,3811.84,3815.44,3750.1,1338358008,1.23551E+11,0.31,3760.85
2018/4/23,3754.69,3760.85,3787.4,3735.18,445694508,1.11763E+11,0.28,3766.33
2018/4/24,3769.88,3766.33,3854.43,3769.88,-1462949388,1.45701E+11,0.36,3843.49
2018/4/25,3824.59,3843.49,3838.69,3817.03,-772673292,1.0575E+11,0.25,3828.7
2018/4/26,3823.39,3828.7,3828.71,3744.89,125129508,1.25772E+11,0.27,3755.49
2018/4/27,3771.04,3755.49,3776.98,3714.64,363238108,1.42114E+11,0.28,3756.88
2018/5/2,3769.93,3756.88,3787.3,3744.55,-259830992,1.20083E+11,0.26,3763.65
2018/5/3,3756.17,3763.65,3797.53,3732.37,806177308,1.2274E+11,0.29,3793
2018/5/4,3784.32,3793,3801.52,3770.94,-1434505692,98315255808,0.22,3774.6
2018/5/7,3782.54,3774.6,3834.59,3776.03,138684908,1.26355E+11,0.27,3834.19
2018/5/8,3834.61,3834.19,3892.07,3833.73,831581208,1.35446E+11,0.3,3878.68
2018/5/9,3876.13,3878.68,3878.94,3855.74,-1918638092,92322897920,0.21,3871.62
2018/5/10,3882.84,3871.62,3894.49,3867.31,-1523153692,1.03255E+11,0.22,3893.06
2018/5/11,3902.15,3893.06,3903.34,3871.95,-1254274292,1.07715E+11,0.23,3872.84
2018/5/14,3886.87,3872.84,3919.3,3886.87,-392334592,1.2252E+11,0.26,3909.29
2018/5/15,3920.14,3909.29,3924.34,3892.92,-984979192,1.06092E+11,0.24,3924.1
2018/5/16,3909.82,3924.1,3923.34,3889.19,-1398569992,1.06534E+11,0.23,3892.84
